,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.165760326385498,0.46173768645534674,0.08373880386352539,0.023969758639485642,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.6675824175824175,0.6208791208791209,0.6153846153846154,0.5906593406593407,0.6401098901098901,0.6269230769230769,0.025736348194791994,232
1,1.4132534503936767,0.25293237423335146,0.113409423828125,0.04021124801713932,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.7087912087912088,0.760989010989011,0.7582417582417582,0.6648351648351648,0.760989010989011,0.7307692307692307,0.03850076492605461,79
2,1.964051103591919,0.3838161063739134,0.136798095703125,0.052537348916806316,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.7692307692307693,0.8021978021978022,0.8186813186813187,0.8241758241758241,0.8461538461538461,0.8120879120879121,0.02563055777953976,22
3,1.239122486114502,0.26893151464841325,0.09172649383544922,0.027765858262791314,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.7362637362637363,0.8571428571428571,0.739010989010989,0.8406593406593407,0.8159340659340659,0.7978021978021979,0.05085312510842453,33
4,1.1643563270568849,0.11005969898728073,0.11999020576477051,0.011600568376414615,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.8653846153846154,0.771978021978022,0.8379120879120879,0.8131868131868132,0.8571428571428571,0.8291208791208791,0.033754335282214644,14
5,1.1122931003570558,0.20308550395576475,0.10577893257141113,0.03301036370600818,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 25}",0.6758241758241759,0.7005494505494505,0.7774725274725275,0.7967032967032966,0.804945054945055,0.7510989010989011,0.05271862776400432,60
6,1.3114022731781005,0.19835043109685754,0.10009112358093261,0.03415717920690025,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 30}",0.782967032967033,0.7664835164835165,0.7664835164835165,0.7884615384615384,0.7939560439560439,0.7796703296703297,0.01131387927580985,43
7,1.4302122592926025,0.1973294277887248,0.12153253555297852,0.041811893828126626,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 35}",0.7307692307692307,0.75,0.7060439560439561,0.760989010989011,0.7554945054945055,0.7406593406593407,0.02008315042032642,68
8,1.3855669498443604,0.3151494909063076,0.09516668319702148,0.04575149843818818,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 40}",0.7032967032967034,0.728021978021978,0.7197802197802198,0.7417582417582418,0.739010989010989,0.7263736263736263,0.013965126403449263,90
9,1.0552270889282227,0.20988457397299148,0.0768735408782959,0.024275163327699214,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 45}",0.695054945054945,0.5714285714285714,0.6071428571428571,0.695054945054945,0.6730769230769231,0.6483516483516484,0.05017780244760824,201
10,1.3672543048858643,0.0962116504883358,0.10177078247070312,0.04604622612594386,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 50}",0.7087912087912088,0.7197802197802198,0.6978021978021978,0.6895604395604396,0.6730769230769231,0.6978021978021978,0.016019098612212353,115
11,1.1756580829620362,0.25032462746079365,0.1294909954071045,0.0392525863937391,0.1,"(50, 50)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 55}",0.6840659340659341,0.7087912087912088,0.6510989010989011,0.6181318681318682,0.5906593406593407,0.6505494505494506,0.04278664249215777,196
12,1.3049888134002685,0.23914314352210583,0.0781205177307129,0.02243692020882417,0.1,"(50, 50)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 60}",0.6840659340659341,0.6263736263736264,0.6510989010989011,0.6538461538461539,0.6593406593406593,0.654945054945055,0.018437320588530242,190
13,0.816641902923584,0.09291671648834968,0.06817512512207032,0.009441488975028799,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 2}",0.6813186813186813,0.6263736263736264,0.6208791208791209,0.5879120879120879,0.6978021978021978,0.6428571428571429,0.04067418796334449,213
14,0.9289144039154053,0.20728254859672446,0.07838892936706543,0.02309378965462998,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 5}",0.6593406593406593,0.7005494505494505,0.6758241758241759,0.5989010989010989,0.7005494505494505,0.667032967032967,0.037483643738045136,174
15,0.9689864635467529,0.198868992056819,0.07981376647949219,0.023329245671798747,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 10}",0.6483516483516484,0.7362637362637363,0.75,0.5879120879120879,0.7005494505494505,0.6846153846153846,0.059771532982296316,144
