,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
154,3.69631404876709,0.605338924152454,0.0042073726654052734,7.336399633508569e-05,0.0001,"(25,)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 5}",0.333,0.34375,0.32225,0.325,0.34725,0.33425,0.009903282284172256,159
155,4.63372688293457,0.7107380176129664,0.0042187213897705075,6.832955020589113e-05,0.0001,"(25,)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 10}",0.595,0.59575,0.56275,0.596,0.561,0.5821,0.01652619133375865,140
156,5.210734033584595,0.8971836046133795,0.004466342926025391,0.0002480951886739739,0.0001,"(25,)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 15}",0.56925,0.6565,0.638,0.62875,0.62475,0.6234500000000001,0.029228154235257466,135
157,6.717773532867431,0.7377658747888755,0.00468902587890625,0.0002553658384438594,0.0001,"(25,)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 20}",0.66825,0.65525,0.69175,0.6625,0.67925,0.6714,0.012850680915811423,123
158,6.854553174972534,1.0606512424899763,0.004589271545410156,0.00012985173249375036,0.0001,"(25,)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 25}",0.69225,0.683,0.69775,0.6635,0.67375,0.68205,0.012364667403533355,115
159,7.255803537368775,0.7428572298024692,0.004973697662353516,0.0003531684811416233,0.0001,"(25,)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 30}",0.686,0.70025,0.68275,0.72375,0.69875,0.6982999999999999,0.014455448799674121,106
160,7.160309839248657,0.7578516861566815,0.004762029647827149,9.517992182372359e-05,0.0001,"(25,)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 35}",0.713,0.68075,0.672,0.69275,0.7065,0.693,0.015319105718024133,110
161,8.569707822799682,0.8557024279969763,0.004824781417846679,2.5971039895532295e-05,0.0001,"(25,)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'km__n_clusters': 40}",0.681,0.688,0.7115,0.68275,0.69125,0.6909,0.010930004574564466,112
162,2.180565929412842,0.727153587769522,0.004478263854980469,0.00011205809166266212,0.0001,"(25, 25)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 2}",0.1145,0.12975,0.12075,0.1185,0.12825,0.12235,0.0058064619175535815,175
163,5.653430366516114,1.1748760671747775,0.004669857025146484,0.00016304765937531795,0.0001,"(25, 25)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 5}",0.412,0.41425,0.41875,0.37125,0.429,0.40904999999999997,0.019782188958757815,152
164,7.475083732604981,1.493343766535314,0.004776573181152344,0.00027779296928699915,0.0001,"(25, 25)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 10}",0.632,0.60525,0.636,0.6985,0.624,0.6391500000000001,0.03150301572865685,129
165,7.764909553527832,0.4017631632222462,0.004733371734619141,6.64592633866941e-05,0.0001,"(25, 25)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 15}",0.69175,0.66675,0.64925,0.71475,0.645,0.6735,0.02638370709358334,122
166,8.968192958831787,2.216348286512767,0.005195474624633789,0.0003335927199237983,0.0001,"(25, 25)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 20}",0.68825,0.704,0.66925,0.75525,0.70225,0.7038,0.028583386783234757,101
167,9.688144302368164,1.8526982380429864,0.005161428451538086,0.0002626664140552111,0.0001,"(25, 25)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 25}",0.758,0.73525,0.7185,0.752,0.757,0.7441500000000001,0.015203289117819206,59
168,8.529673767089843,1.5738610855378536,0.0051669120788574215,0.0001777713645526405,0.0001,"(25, 25)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 30}",0.7615,0.73775,0.71075,0.70025,0.69625,0.7213,0.02477317097183965,84
169,10.941320037841797,1.4277772507290445,0.005338716506958008,0.00015520096528408506,0.0001,"(25, 25)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 35}",0.7365,0.7415,0.7335,0.73275,0.732,0.7352500000000001,0.003478505426185235,66
170,11.83712739944458,2.99958575992828,0.00553746223449707,0.0002775692976518108,0.0001,"(25, 25)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 40}",0.71025,0.76225,0.764,0.78025,0.792,0.7617500000000001,0.027981690442144474,53
171,3.2180230617523193,0.8263003731782632,0.007375144958496093,0.00011902791530527943,0.0001,"(100, 25, 100)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 2}",0.13625,0.1355,0.13675,0.1375,0.1315,0.1355,0.002103568396796265,163
172,10.79310245513916,1.316745671251939,0.008291196823120118,0.00017962484230604243,0.0001,"(100, 25, 100)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 5}",0.56425,0.572,0.56175,0.5725,0.5335,0.5608000000000001,0.01428583214237099,143
173,15.464838361740112,4.523266294819488,0.008518266677856445,0.00044177089029714386,0.0001,"(100, 25, 100)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 10}",0.82875,0.79025,0.7745,0.826,0.83825,0.8115500000000001,0.024673568854140265,27
174,13.508613777160644,2.27997079810331,0.008464241027832031,9.096743331472565e-05,0.0001,"(100, 25, 100)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 15}",0.81325,0.857,0.82775,0.85125,0.8405,0.83795,0.015877184889016044,20
175,13.901339292526245,2.4067524630982535,0.008722639083862305,0.00016539298749617472,0.0001,"(100, 25, 100)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 20}",0.84225,0.833,0.84075,0.80925,0.8555,0.83615,0.015273015419359735,22
176,14.388560152053833,4.699881862775617,0.008871173858642578,0.00011945209571257202,0.0001,"(100, 25, 100)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 25}",0.8965,0.901,0.82025,0.84625,0.8495,0.8627,0.0311646434280901,8
177,15.646944427490235,1.6524558670191196,0.009354448318481446,0.0009156582361272332,0.0001,"(100, 25, 100)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 30}",0.86325,0.86425,0.877,0.865,0.84,0.8619,0.012038064628502383,10
178,17.198613739013673,2.661839104743902,0.00904841423034668,0.00031814464419101175,0.0001,"(100, 25, 100)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 35}",0.8655,0.8395,0.85025,0.87175,0.87775,0.8609500000000001,0.014100886496954736,11
179,13.046014642715454,3.2322730059654234,0.009093999862670898,0.00025767509701648075,0.0001,"(100, 25, 100)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 40}",0.81725,0.87875,0.782,0.88425,0.8845,0.84935,0.04215287653292475,16
