,2,5,10,15,20,25,30,35,40
GMM,0.0712,0.1285,0.23585,0.2685,0.32175,0.3459,0.3609,0.38485,0.43935
Kmeans,0.0571,0.1148,0.19145,0.22985,0.2627,0.2972,0.3354,0.35555,0.3812
