,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.29370388984680174,0.022074795855025788,0.0059967517852783205,0.0006904104021193858,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.5,0.5,0.5,0.510989010989011,0.5,0.5021978021978022,0.00439560439560438,149
1,0.5466731548309326,0.022826185762145828,0.011577510833740234,0.00017194483454019706,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.5,0.510989010989011,0.49175824175824173,0.49725274725274726,0.49175824175824173,0.49835164835164836,0.007079175124574241,158
2,1.0044476509094238,0.033684141290808454,0.023808860778808595,0.0029911998491546988,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.4835164835164835,0.521978021978022,0.5054945054945055,0.49725274725274726,0.5137362637362637,0.5043956043956044,0.013300789491110113,145
3,1.450002098083496,0.010148966949280589,0.03223519325256348,0.00027144712358820897,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.510989010989011,0.5274725274725275,0.5027472527472527,0.5082417582417582,0.5274725274725275,0.5153846153846153,0.01022037100974632,108
4,1.939856767654419,0.0342825069347425,0.045549774169921876,0.005962697233864879,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.5521978021978022,0.510989010989011,0.532967032967033,0.5137362637362637,0.5247252747252747,0.5269230769230769,0.014885952949608892,81
5,2.394724130630493,0.01834664365304545,0.059800004959106444,0.003784331374675677,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.489010989010989,0.5851648351648352,0.5604395604395604,0.5714285714285714,0.5247252747252747,0.5461538461538462,0.034897680237803125,64
6,2.8839552879333494,0.08878942046619376,0.06908617019653321,0.013135185997029607,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",0.5631868131868132,0.5851648351648352,0.5192307692307693,0.554945054945055,0.532967032967033,0.5510989010989011,0.023090001526868895,54
7,3.233860397338867,0.04071801953115335,0.07536425590515136,0.002150179658012353,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",0.6208791208791209,0.6208791208791209,0.5824175824175825,0.5659340659340659,0.5247252747252747,0.582967032967033,0.03621375176545952,1
8,3.7654786109924316,0.12997008384420133,0.0845487117767334,0.002307201634005328,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",0.5989010989010989,0.554945054945055,0.5659340659340659,0.5604395604395604,0.5357142857142857,0.5631868131868132,0.020558557070186487,34
9,0.25428318977355957,0.015665645103724105,0.005223512649536133,3.436107222532602e-05,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",0.5027472527472527,0.5604395604395604,0.5027472527472527,0.510989010989011,0.4807692307692308,0.5115384615384615,0.026430798836935592,117
10,0.5272300243377686,0.01662813947770625,0.011827611923217773,0.0004984766477856754,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 5}",0.5,0.510989010989011,0.532967032967033,0.49725274725274726,0.49175824175824173,0.5065934065934066,0.014599264017127937,139
11,0.96238694190979,0.019830197035279263,0.022804880142211915,0.0003820882670108468,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 10}",0.5027472527472527,0.521978021978022,0.510989010989011,0.49725274725274726,0.47802197802197804,0.5021978021978022,0.014681746391085038,149
12,1.4402451992034913,0.015357653983196155,0.03260354995727539,0.0007842022848039198,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 15}",0.510989010989011,0.48626373626373626,0.49725274725274726,0.5082417582417582,0.5274725274725275,0.506043956043956,0.013834811331883705,143
13,1.8640009403228759,0.013995887437914602,0.04282622337341309,0.002184228611054455,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 20}",0.5027472527472527,0.5027472527472527,0.5384615384615384,0.5137362637362637,0.5027472527472527,0.512087912087912,0.013856615618591741,113
14,2.37463641166687,0.010319596549867917,0.056056785583496097,0.0024968323807674953,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 25}",0.489010989010989,0.5824175824175825,0.5576923076923077,0.5741758241758241,0.5906593406593407,0.5587912087912088,0.03655395028237341,37
15,2.7977412223815916,0.01615966988951722,0.07009639739990234,0.006953451638063575,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 30}",0.5631868131868132,0.5879120879120879,0.5576923076923077,0.5521978021978022,0.5302197802197802,0.5582417582417583,0.0185841038739426,40
