,Madelon SSE (left),character SSE (left)
2,901698.3235927081,263293.23551213415
5,891606.3808095057,206888.0122953469
10,885686.8755313073,167634.57889132574
15,882068.900105613,145610.6212242238
20,878899.4169084921,133073.05512322736
25,875498.7210592057,122885.52900464623
30,872563.1397672676,115009.74190259867
35,870690.0863482988,108202.81808503607
40,867800.9049758398,102951.35882029677
