,Madelon log-likelihood,character log-likelihood
2,-591.2029664353918,-17.20917984454915
5,-173.4034482690623,-14.972253953343612
10,1340.1922976807011,-12.571244822154707
15,1789.6899890897716,-9.519369470969027
20,2045.9134789737054,-8.517227962778708
25,2191.2354630068703,-7.603276393803558
30,2294.2045915468,-7.649209142397823
35,2392.891057308804,-6.7588754250609435
40,2462.5774317141654,-6.800255970169879
