,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
140,6.781296682357788,1.79352539707095,0.01546778678894043,0.000540082963409972,0.0001,"(50, 50)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.351,0.3455,0.35475,0.3485,0.37925,0.3558,0.01211135830532645,65
141,6.893607902526855,0.7765260281031078,0.017755651473999025,0.0010833635883768988,0.0001,"(50, 50)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",0.3455,0.382,0.362,0.38025,0.37675,0.3693,0.013830582055719859,47
142,9.501390361785889,0.778521100508189,0.022003936767578124,0.0041806564920941255,0.0001,"(50, 50)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",0.3735,0.429,0.39,0.39425,0.39925,0.39719999999999994,0.018097928058206,33
143,10.880380439758301,2.863081335351086,0.02353363037109375,0.0017392469768768798,0.0001,"(50, 50)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",0.41225,0.45,0.4225,0.43075,0.41225,0.42555,0.014056493161525036,1
144,1.890100908279419,0.3225900066292417,0.0049670696258544925,1.7278752219922892e-05,0.0001,"(50,)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",0.09025,0.09575,0.09275,0.0855,0.094,0.09165000000000001,0.003558791929854847,176
145,1.8639978885650634,0.28623741460004043,0.0070513725280761715,0.0007114632771777737,0.0001,"(50,)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 5}",0.147,0.14575,0.12125,0.15425,0.14075,0.14179999999999998,0.011144954015158607,147
146,2.7638176918029784,0.5274934907130847,0.008709859848022462,0.0005168212116170015,0.0001,"(50,)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 10}",0.18925,0.21325,0.20325,0.22525,0.22425,0.21105000000000002,0.01354104870384861,122
147,3.715912866592407,0.8672199722548342,0.010764980316162109,0.0005312329678777735,0.0001,"(50,)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 15}",0.296,0.28175,0.25875,0.304,0.28825,0.28575,0.015423196815187184,108
148,4.990139532089233,0.8016520400525675,0.012339115142822266,0.0004686765697468761,0.0001,"(50,)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 20}",0.3365,0.346,0.315,0.34475,0.343,0.33704999999999996,0.01150043477439005,84
149,6.309175586700439,1.5068776076187105,0.015427494049072265,0.0010224538065045185,0.0001,"(50,)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 25}",0.33675,0.3565,0.34875,0.35,0.38075,0.35455,0.014570003431708582,71
150,8.108217763900758,1.1715256633084685,0.019416379928588866,0.0021795405003320555,0.0001,"(50,)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 30}",0.34975,0.386,0.36075,0.38325,0.382,0.37235000000000007,0.01444697200108036,42
151,8.662921476364136,0.5482033482270106,0.02003488540649414,0.0015446184350749862,0.0001,"(50,)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 35}",0.38675,0.43075,0.39325,0.39675,0.39175,0.39985,0.015781001235663106,23
152,9.158043003082275,2.4320092793320622,0.020860862731933594,0.0005407068752360059,0.0001,"(50,)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 40}",0.3945,0.44925,0.435,0.42925,0.411,0.42380000000000007,0.019105889144449672,3
153,1.8278597354888917,0.3962961147433881,0.004925727844238281,0.0003571421503712265,0.0001,"(25,)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 2}",0.08875,0.085,0.08775,0.08825,0.0835,0.08665,0.00204083316319585,178
154,1.5598519325256348,0.1906695333883762,0.006284189224243164,0.00043748509702168755,0.0001,"(25,)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 5}",0.1445,0.13875,0.12075,0.15,0.136,0.138,0.009883066325791808,157
155,3.0283767223358153,1.1349349528342958,0.009025335311889648,0.0015597409627523863,0.0001,"(25,)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 10}",0.18625,0.21925,0.20375,0.21825,0.22575,0.21064999999999995,0.014161214637170079,126
156,3.302215576171875,0.6163809512063406,0.01038503646850586,0.0007544218636558511,0.0001,"(25,)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 15}",0.293,0.281,0.2545,0.29875,0.28875,0.2832,0.01547368734335808,118
157,5.040297126770019,1.084290517190728,0.01232914924621582,0.0006765825853106324,0.0001,"(25,)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 20}",0.315,0.337,0.323,0.34225,0.344,0.33225,0.011346805717910212,95
158,6.17452712059021,1.8278792921780886,0.014355611801147462,0.000566443837734781,0.0001,"(25,)",25,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 25}",0.33425,0.35775,0.3465,0.3425,0.37625,0.35145,0.014527043746062025,79
159,6.70275297164917,0.8390399828019824,0.015927600860595702,0.0003928410534469596,0.0001,"(25,)",30,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 30}",0.3325,0.383,0.36075,0.37925,0.3795,0.36699999999999994,0.01892947437199458,52
160,8.743749523162842,1.023266623209589,0.01778998374938965,0.00027147820645220084,0.0001,"(25,)",35,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 35}",0.3905,0.41775,0.3935,0.3915,0.38975,0.3966,0.010649647881502938,35
161,9.086930465698241,1.8152601468118366,0.019812583923339844,0.00042844854850742237,0.0001,"(25,)",40,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 40}",0.38775,0.4435,0.425,0.43275,0.41175,0.42015,0.019224073449714045,13
162,2.276962423324585,0.398174006480719,0.005008125305175781,5.692616919811624e-05,0.0001,"(25, 25)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 2}",0.1025,0.0995,0.092,0.0985,0.094,0.09730000000000001,0.0038026306683663085,166
163,2.111043167114258,0.24904180080263333,0.006598949432373047,0.0003425181749584076,0.0001,"(25, 25)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 5}",0.1465,0.1445,0.12225,0.14725,0.13875,0.13985,0.00929058663379229,154
164,2.9873334407806396,0.7037503249573969,0.009109783172607421,0.0009058610597657097,0.0001,"(25, 25)",10,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 10}",0.18475,0.22125,0.20625,0.216,0.21375,0.20839999999999997,0.012770669520428442,137
165,4.084520101547241,0.917750773009222,0.011349105834960937,0.0006226597344704454,0.0001,"(25, 25)",15,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 15}",0.29175,0.28825,0.259,0.30075,0.292,0.28635,0.0142833819524649,107
166,5.861826372146607,0.7884628391713895,0.01204056739807129,0.00010717782578458994,0.0001,"(25, 25)",20,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'gmm__n_components': 20}",0.33775,0.3385,0.3115,0.3395,0.35125,0.3357,0.013068473514531073,87
